,gender,SeniorCitizen,tenure,PhoneService,MultipleLines,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Family,OnlineServices,StreamingServices,Churn
0,0,0,1,0,No phone service,DSL,No,No,Month-to-month,1,Electronic check,1,1,1,1,0,No
1,1,0,3,1,No,DSL,Yes,No,One year,0,Mailed check,2,3,0,1,0,No
2,1,0,1,1,No,DSL,No,No,Month-to-month,1,Mailed check,2,1,0,1,0,Yes
3,1,0,3,0,No phone service,DSL,Yes,Yes,One year,0,Bank transfer (automatic),2,3,0,1,0,No
4,0,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,3,1,0,0,0,Yes
5,0,0,1,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,2,0,0,1,Yes
6,1,0,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Credit card (automatic),3,3,1,1,1,No
7,0,0,2,0,No phone service,DSL,No,No,Month-to-month,0,Mailed check,1,1,0,1,0,No
8,0,0,2,1,Yes,Fiber optic,Yes,Yes,Month-to-month,1,Electronic check,4,3,1,0,1,Yes
9,1,0,4,1,No,DSL,No,No,One year,0,Bank transfer (automatic),2,3,1,1,0,No
10,1,0,2,1,No,DSL,No,No,Month-to-month,1,Mailed check,2,2,1,1,0,No
11,1,0,2,1,No,No,No internet service,No internet service,Two year,0,Credit card (automatic),1,1,0,1,1,No
12,1,0,4,1,Yes,Fiber optic,Yes,No,One year,0,Credit card (automatic),4,4,1,0,1,No
13,1,0,3,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Bank transfer (automatic),4,4,0,1,1,Yes
14,1,0,2,1,No,Fiber optic,Yes,Yes,Month-to-month,1,Electronic check,4,3,0,1,1,No
15,0,0,4,1,Yes,Fiber optic,Yes,Yes,Two year,0,Credit card (automatic),4,4,1,1,1,No
16,0,0,3,1,No,No,No internet service,No internet service,One year,0,Mailed check,1,2,0,1,1,No
17,1,0,4,1,Yes,Fiber optic,Yes,No,Two year,0,Bank transfer (automatic),4,4,1,1,1,No
18,0,0,2,1,No,DSL,Yes,Yes,Month-to-month,0,Credit card (automatic),2,2,1,0,0,Yes
19,0,0,2,1,No,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,3,0,1,1,No
20,1,1,1,0,No phone service,DSL,Yes,No,Month-to-month,1,Electronic check,2,1,0,0,1,Yes
21,1,0,2,1,No,No,No internet service,No internet service,One year,0,Bank transfer (automatic),1,1,1,1,1,No
22,1,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Mailed check,1,1,0,1,1,Yes
23,0,0,4,1,Yes,DSL,No,Yes,Two year,1,Credit card (automatic),2,3,1,1,0,No
24,1,0,3,1,No,DSL,No,Yes,Month-to-month,0,Credit card (automatic),2,3,1,1,0,No
25,0,0,3,1,No,DSL,No,No,Month-to-month,1,Bank transfer (automatic),2,3,0,1,0,No
26,1,0,3,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,4,4,1,1,1,Yes
27,1,0,1,0,No phone service,DSL,No,No,Month-to-month,0,Electronic check,1,1,1,1,0,Yes
28,1,0,4,1,Yes,DSL,Yes,Yes,Two year,1,Credit card (automatic),4,4,1,1,1,No
29,0,0,2,1,No,DSL,No,No,Month-to-month,1,Mailed check,2,2,1,0,1,Yes
30,0,1,4,1,Yes,Fiber optic,Yes,Yes,Two year,1,Credit card (automatic),4,4,1,1,0,No
31,1,1,1,1,No,Fiber optic,Yes,No,Month-to-month,1,Credit card (automatic),4,1,1,0,1,No
32,0,0,2,1,No,DSL,Yes,Yes,One year,0,Mailed check,2,3,1,1,0,No
33,1,0,1,1,No,No,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),1,1,0,1,1,No
34,1,1,1,1,No,DSL,No,No,Month-to-month,0,Bank transfer (automatic),2,1,0,0,0,No
35,0,0,4,1,Yes,Fiber optic,No,Yes,Two year,0,Bank transfer (automatic),4,4,1,1,1,No
36,1,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,2,1,0,0,0,Yes
37,0,0,3,1,No,Fiber optic,Yes,No,Month-to-month,1,Credit card (automatic),3,3,0,0,0,No
38,1,0,3,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Electronic check,4,3,0,1,1,Yes
39,0,0,2,1,Yes,Fiber optic,Yes,No,Month-to-month,1,Bank transfer (automatic),4,2,0,0,1,Yes
40,1,0,2,1,No,DSL,No,No,One year,0,Mailed check,2,2,1,1,0,No
41,0,0,4,1,Yes,DSL,No,No,Two year,1,Credit card (automatic),2,4,1,1,1,No
42,0,0,2,1,No,No,No internet service,No internet service,One year,0,Mailed check,1,2,1,1,1,No
43,0,0,4,1,Yes,DSL,Yes,Yes,Two year,1,Credit card (automatic),3,4,0,1,1,No
44,0,0,2,1,Yes,DSL,No,Yes,Month-to-month,1,Electronic check,3,2,1,1,1,No
45,0,0,3,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,3,4,0,0,1,No
46,1,0,1,1,No,DSL,No,No,Month-to-month,0,Mailed check,2,1,0,1,0,No
47,0,0,1,1,No,Fiber optic,No,No,Month-to-month,1,Electronic check,3,1,0,0,1,Yes
48,1,0,3,1,Yes,DSL,No,Yes,Two year,1,Credit card (automatic),3,4,0,1,1,No
49,0,0,4,1,Yes,DSL,Yes,Yes,Two year,1,Credit card (automatic),2,4,1,1,0,No
50,0,1,3,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,4,4,0,1,1,No
51,0,0,2,1,No,Fiber optic,No,No,Month-to-month,1,Credit card (automatic),4,3,0,1,1,Yes
52,0,1,2,1,Yes,DSL,No,Yes,Month-to-month,1,Credit card (automatic),2,3,1,1,1,No
53,0,1,1,1,Yes,Fiber optic,No,No,Month-to-month,1,Credit card (automatic),3,2,1,1,0,Yes
54,0,1,4,1,No,DSL,Yes,Yes,One year,1,Credit card (automatic),3,4,1,1,1,No
55,1,1,2,1,Yes,Fiber optic,No,No,Month-to-month,1,Electronic check,4,3,0,0,1,Yes
56,0,0,4,1,Yes,Fiber optic,No,No,One year,1,Credit card (automatic),4,4,1,1,1,No
57,1,1,4,1,Yes,Fiber optic,Yes,Yes,One year,1,Electronic check,4,4,1,1,1,No
58,0,0,3,1,Yes,No,No internet service,No internet service,Two year,0,Credit card (automatic),1,2,1,1,1,No
59,0,0,4,1,Yes,Fiber optic,Yes,Yes,Two year,1,Credit card (automatic),4,4,0,0,1,No
